productID,price,title,bodycontent,productURL
223557279,"2,499",DELL XPS TOWER 8930-970128G-W10(GTX1080) [BRAND NEW] [DYNACORE],"DELL XPS TOWER 8930-970128G-W10(GTX1080) [BRAND NEW]  Usual Price: $3,199 / Now: $2,499  PRODUCT SPECIFICATIONS: • 9th Generation Intel® Core™ i7-9700K • 16GB RAM • 512GB SSD + 2TB HDD • NVIDIA® Core™ GTX1080 8GB GDDR5X • Windows 10 Home • 1 Year Dell Premium Support + Accidental Damage Service**",https://sg.carousell.com/p/DELL-XPS-TOWER-8930-970128G-W10(GTX1080)-[BRAND-NEW]-[DYNACORE]-223557279
1000714481,37,(M630) Multi-function HUB Type-C 3.1 HDMI 4K USB3.0 Ports PD Charge SD/TF Card Reader For MacBook 2015/2016/Pro HP i7 Dell's XP XXM8(DARK GREY),"Interface: 2 x USB 3.0 1 x Type-C 1 x HDMI 4K 1 x PD Charging 1 x TFcard 1 x SD card Support models:HP i7/Dell's XPS, Macbook 2015/2016/Pro, Microsoft 950,950XL,Google Notebook etc. Support System:Windows 7/8/Vista/XP,Mac10/4/6",https://sg.carousell.com/p/(M630)-Multi-function-HUB-Type-C-3.1-HDMI-4K-USB3.0-Ports-PD-Charge-SD/TF-Card-Reader-For-MacBook-2015/2016/Pro-HP-i7-Dell's-XP-XXM8(DARK-GREY)-1000714481
1000394366,25,USB-C HUB 7 in 1 for MacBook Pro,"DooToper One USB-C HUB 7 in 1 for MacBook PRO D90 is a multi-port Type-C adapter that exclusive designed for 2016/2017 New MacBook Pro 13” and 15”. It has 2 x USB 3.0 extension ports. 1 x SD card slot 1 x Micro SD card slot 1 x HDMI port 1 x Type-C female port 1 x Thunderbolt 3 full functional port,",https://sg.carousell.com/p/USB-C-HUB-7-in-1-for-MacBook-Pro-1000394366
1002885317,12,"CableCreation USB C Cable 10ft, Braided USB C to USB C Fast Charging Cable (60W/ 3A), Data Sync up to 480Mbps(Space Gray), Compatible with Macbook(Pro), Galaxy S10/S9/S9+, Pixel XL 2XL, etc.","Compatible Devices (Incomplete):  MacBook (Pro) 2015/2016/2017 New MacBook 2015 New Macbook 12-inches/13-inches New Chromebook Pixel Lumia 950/950XL Dell XPS 13/15 Yoga 900(Yoga 4 Pro) Asus Zen AIO All in One PC iPad Pro 2018 (11 inch, 12.9 inch) Huawei MateBook Huawei P20/ P20 Pro/ P30/ P30 Pro Xia","https://sg.carousell.com/p/CableCreation-USB-C-Cable-10ft,-Braided-USB-C-to-USB-C-Fast-Charging-Cable-(60W/-3A),-Data-Sync-up-to-480Mbps(Space-Gray),-Compatible-with-Macbook(Pro),-Galaxy-S10/S9/S9+,-Pixel-XL-2XL,-etc.-1002885317"
1000506400,12,CHOETECH USB C to Mini Displayport Adapter 4K@60Hz,"【4K@60Hz HigherUHD Resolution】This usb c to mini dp converter supports up to 3840x2160@60Hz (4K,UHD) with astonishing picture quality at four times higher than 1080P. Backward compatible with 2K@30Hz, 1080p. 【USB C PD Charging】The usb c female connector on the back of the usb c converter is designed",https://sg.carousell.com/p/CHOETECH-USB-C-to-Mini-Displayport-Adapter-4K@60Hz-1000506400
248211526,"1,299",Dell Laptop GTX 1060,"intel core i7-8750h cpu @ 220 Ghz NVIDIA GeForce GTX 1060 MAX-Q (6GB GDDR5) - performs amazing, great cooling  15.6’’ , Full HD (1920 x 1080), IPS 256 SSD Storage + 1000GB HDD 16 GB RAM 2.61 kg   Bought for $1,800. Awesome specs but willing to let go for 1,300 because I barely used it. Mint conditio",https://sg.carousell.com/p/Dell-Laptop-GTX-1060-248211526
250295826,"1,900",[SALE!]DELL XPS  + IMAC /ULTRABOOK 9550-670122G-W10-BLK(UHDT) I7-6700HQ-256GB SSD 16GB NVIDIA GTX960M 2GB GDDR5 15.6  (4K Touchscreen) + Original packaging box +  Original charger,"Original price: $3K++ Condition: Excellent; like new,  Reason for sale: Underuse, collecting dust on my desk.  Price: negotiable for a fair deal, but no low baller. Will be ignored : ( Specification: Processor:  Intel i7-6700HQ CPU @2.60GHz RAM: 16.0 GB Storage: 256 GB SSD Graphics: NVIDIA GeForce G",https://sg.carousell.com/p/[SALE!]DELL-XPS--+-IMAC-/ULTRABOOK-9550-670122G-W10-BLK(UHDT)-I7-6700HQ-256GB-SSD-16GB-NVIDIA-GTX960M-2GB-GDDR5-15.6--(4K-Touchscreen)-+-Original-packaging-box-+--Original-charger-250295826
247407794,"2,000",XPS 15,XPS 15 9560  4K TOUCH SCREEN  i7-7700HQ  512GB SSD  16GB RAM  WINDOWS 10 —————————————————- ISSUES:  Speakers: Both sides produces distorted sounds (The speaker modules can be replaced)   Charger: Not using the native 130W charger as it is spoilt. (I bought a 97W charger from Apple that charges thro,https://sg.carousell.com/p/XPS-15-247407794
287179775,"1,699",Razer blade 14” (late 2016) GTX1060 16GB RAM 1TB SSD,Razer Blade 14” (late 2016)  Condition: 9.5/10 (wear and tear)  Intel Core i7-6700HQ 2.6/3.5 GHz (Base/Turbo)  Nvidia Geforce GTX 1060 (6GB GDDR5 VRAM)  16GB RAM  1920x1080 FHD 60Hz Display  1TB SSD  RFS: Changing to desktop  Price Fixed    ———— #Asus #Samsung #MSI #Acer #Aftershock #Apple #Alienwar,https://sg.carousell.com/p/Razer-blade-14”-(late-2016)-GTX1060-16GB-RAM-1TB-SSD-287179775
286451021,"2,999.21",2-in-1 XPS 13 - 7390 Laptop,2-in-1 XPS 13 - 7390 laptop ( 2 Units in Stock ) --------------------------------------------  Intel 10th Gen i7-1065G7 Processor 32GB RAM 1TB PCIe NVMe x4 SSD Intel Iris Plus Graphics Windows 10 Pro 13.4 inch UHD+ 16:10 WLED Touch Display Platinum Silver  Black Carbon Fiber interior   •	1 year Onsi,https://sg.carousell.com/p/2-in-1-XPS-13---7390-Laptop-286451021
282812751,165,Laptop RAM - DELL Original (2 x 8GB) 2400MHz RAM sticks,"Original DELL XPS 15 9560 Laptop RAMs. Two 8GBs RAM. Reasons to sell: Upgrade the original (2 x 8GBs) to (2 x 16GBs). Meaning from 16GB to 32GB RAM upgrade. Bought the DELL XPS @2017-May-02, then bought the 2x 16GBs RAM @2017-Oct-10. Immediately replace to upgrade. So only use the original 2x 8GBs R",https://sg.carousell.com/p/Laptop-RAM---DELL-Original-(2-x-8GB)-2400MHz-RAM-sticks-282812751
169891877,34.90,ORIGINAL DELL 45W Power Adaptor Charger AC Supply XPS Inspiron Vostro Optiplex 19.5v 2.31a,"Brand New Add + $5.00 for SG Plug Cable  Why Choose Us?  👍We've over 1600+ positive reviews 🇸🇬We cover local warranty and exchange.   Compatible Models (not limited, do inquire if your model not found below): DELL XPS SERIES ULTRABOOK: 12 L221X,  DELL: 15-3558, 15-3558, 3157 P20T P20T003, INSPIRION ",https://sg.carousell.com/p/ORIGINAL-DELL-45W-Power-Adaptor-Charger-AC-Supply-XPS-Inspiron-Vostro-Optiplex-19.5v-2.31a-169891877
224971985,61.49,19.5v 7.7a 150w (7.4*5.0mm) Replacement laptop Charger for Dell Alienware M14x R2 R1 M15X M17x R3 Dell XPS 15 L502X L702X L501X L701X Dell Inspiron 9100 5150 5160 9200 L501X L502X Precision M4600 M6400 M4500,"*Brand new from factory and high quality. *Economical Price *1 Year warranty *Certifications: FCC, CE, ROHS *Fit for models: KFY89 H1NV4 3HHMP N426P R940P V90FR YGK8W J408P 330-5830 331-7224 450-18944 DA150PM100-00 PA-5M10 LA150PM121 DA150PM121 FA150PM121 ADP-150RB ; Dell Inspiron 5150, 5160, 9100, ",https://sg.carousell.com/p/19.5v-7.7a-150w-(7.4*5.0mm)-Replacement-laptop-Charger-for-Dell-Alienware-M14x-R2-R1-M15X-M17x-R3-Dell-XPS-15-L502X-L702X-L501X-L701X-Dell-Inspiron-9100-5150-5160-9200-L501X-L502X-Precision-M4600-M6400-M4500-224971985
1000459342,20,Mini display port adapter,Supports 4K Video] Ultra High-Definition video formats with resolutions up to 4096 x 2160 @ 60Hz. Enjoy crisp and flicker-free video image with no lag.  [Compact & Foldable] Easily fits in the extra space of a laptop sleeve without dangling and tangling. Comes with a foldable cable that is around 4 ,https://sg.carousell.com/p/Mini-display-port-adapter-1000459342
